188.53,110
189.01,113
189.48,118
189.95,117
190.43,117
190.9,120
191.37,122
191.85,121
192.32,119
192.79,122
193.27,120
193.74,121
194.21,125
194.69,121
195.16,121
195.63,125
196.11,119
196.58,120
197.05,118
197.53,121
198,121
198.47,121
198.95,119
199.42,116
199.89,116
200.37,114
200.84,120
201.31,120
201.78,121
202.26,121
202.73,120
203.2,119
203.68,116
204.15,112
204.62,118
205.09,122
205.57,129
206.04,126
206.51,124
206.98,124
207.46,122
207.93,118
208.4,122
208.87,123
209.35,122
209.82,120
210.29,126
210.76,120
211.24,120
211.71,120
212.18,123
212.65,122
213.13,121
213.6,119
214.07,122
214.54,120
215.01,124
215.49,119
215.96,122
216.43,122
216.9,117
217.38,119
217.85,120
218.32,121
218.79,118
219.26,118
219.74,118
220.21,117
220.68,122
221.15,123
221.62,125
222.09,124
222.57,122
223.04,123
223.51,118
223.98,122
224.45,122
224.92,123
225.4,123
225.87,123
226.34,122
226.81,117
227.28,124
227.75,124
228.22,120
228.7,127
229.17,122
229.64,121
230.11,119
230.58,122
231.05,122
231.52,121
231.99,119
232.47,122
232.94,121
233.41,119
233.88,121
234.35,121
234.82,123
235.29,124
235.76,126
236.23,127
236.7,124
237.18,124
237.65,121
238.12,121
238.59,123
239.06,123
239.53,123
240,123
240.47,124
240.94,121
241.41,125
241.88,122
242.35,126
242.82,123
243.29,120
243.76,118
244.24,119
244.71,120
245.18,121
245.65,125
246.12,129
246.59,126
247.06,120
247.53,122
248,122
248.47,121
248.94,123
249.41,122
249.88,124
250.35,122
250.82,122
251.29,122
251.76,125
252.23,123
252.7,120
253.17,127
253.64,125
254.11,127
254.58,124
255.05,124
255.52,124
255.99,122
256.46,126
256.93,121
257.4,117
257.87,121
258.34,123
258.81,120
259.28,123
259.75,123
260.21,125
260.68,125
261.15,120
261.62,120
262.09,122
262.56,126
263.03,122
263.5,122
263.97,125
264.44,125
264.91,126
265.38,126
265.85,125
266.32,124
266.79,125
267.25,121
267.72,122
268.19,124
268.66,122
269.13,119
269.6,127
270.07,121
270.54,122
271.01,121
271.48,119
271.94,123
272.41,130
272.88,125
273.35,120
273.82,122
274.29,122
274.76,121
275.23,124
275.69,120
276.16,118
276.63,122
277.1,124
277.57,121
278.04,122
278.51,121
278.97,124
279.44,128
279.91,126
280.38,126
280.85,122
281.32,125
281.78,123
282.25,122
282.72,122
283.19,123
283.66,129
284.12,125
284.59,124
285.06,125
285.53,120
286,118
286.46,122
286.93,120
287.4,123
287.87,121
288.34,121
288.8,121
289.27,121
289.74,123
290.21,125
290.68,121
291.14,122
291.61,128
292.08,125
292.55,122
293.01,123
293.48,123
293.95,121
294.42,120
294.88,122
295.35,121
295.82,122
296.29,121
296.75,123
297.22,124
297.69,122
298.16,122
298.62,123
299.09,122
299.56,121
300.03,121
300.49,121
300.96,121
301.43,122
301.89,124
302.36,124
302.83,123
303.29,120
303.76,125
304.23,123
304.7,122
305.16,120
305.63,122
306.1,121
306.56,122
307.03,125
307.5,123
307.96,121
308.43,123
308.9,119
309.36,121
309.83,122
